index,review,tagging
0,하트찜꽁 쫀득한 도가니탕 맛있네요 국 간은 싱거운데 소금 간 하면 딱이에요,"{'하트찜꽁 쫀득한 도가니탕 맛있네요': '맛/향/풍미', '국 간은 싱거운데 소금 간 하면 딱이에요': '맛/향/풍미'}"
1,일부러 내용 청 가물을 보고 샀습니다 가장 청 가물과 나트륨이 적었구요 가격은 음 착하지는 않습니다 추가 구매해서 사 먹을 맛은 아닌 걸로 제가 도가니 매니아가 아니라 그런 걸까요 아니면 후기를 좋은 말만 쓰면 뭐가 있는 건가요 컬리 초보자라 궁금하군요  ,{'가격은 음 착하지는 않습니다': '가격'}
2,기름 너무 많아서 느끼함,{'기름 너무 많아서 느끼함': '맛/향/풍미'}
3,믿고 먹는 설성 목장이예요 무 항생제인데 도가니도 꽤 들어 있고 가격 대비 좋네요 ,"{'믿고 먹는 설성 목장이예요': '맛/향/풍미', '무 항생제인데 도가니도 꽤 들어 있고': '양', '가격 대비 좋네요': '가격'}"
4,설성 목장은 소금과 첨가물 안 들어 있어서 좋아요,{'소금과 첨가물 안 들어 있어서 좋아요': '맛/향/풍미'}
5,도가니탕 관절 위해 먹어 보려구요,{}
6,"입에 짝 달라붙는 맛
도가니탕 중 최고입니다","{'입에 짝 달라붙는 맛': '맛/향/풍미', '도가니탕 중 최고입니다': '맛/향/풍미'}"
7,국물 진하고 맛 잇어요,{'국물 진하고 맛 잇어요': '맛/향/풍미'}
8,고기가 까매서 왜 그럴지 궁금,{}
9,맛있어요  다만 고기 살이 까매요 ,"{'맛있어요': '맛/향/풍미', '고기 살이 까매요': '맛/향/풍미'}"
10,엄마 주문해 드렸는데 도가니보다 부속물이 많고 기름 심해서 버렸다고,"{'도가니보다 부속물이 많고': '양', '기름 심해서 버렸다고': '맛/향/풍미'}"
11,설성 목장 도가니탕 비싸도 제대로 집에서 요리된 듯 맛이라 꾸준하게 주문해요 ,{'비싸도 제대로 집에서 요리된 듯 맛이라 꾸준하게 주문해요': '맛/향/풍미'}
12,도가니탕에 만두국 끓임 최고예요,{'도가니탕에 만두국 끓임 최고예요': '활용 방법'}
13,"마켓컬리에서 구입해서 먹은 도가니탕 중에 국물 맛은 제일 맛있어요 근데 제가 구입해서 먹은 제품에 비해 고기에 기름이 많아요
그것만 개선되면 자주 이용할 거 같아요","{'국물 맛은 제일 맛있어요': '맛/향/풍미', '고기에 기름이 많아요': '맛/향/풍미', '그것만 개선되면 자주 이용할 거 같아요': '가격'}"
14,매번 구매해서 맛있게 먹고 있습니다,{}
15,"열자마자 놀랬네요
  두 개 주문했는데 하나는 멀쩡한데 하나는 누가 일부러 뜯어 놓은 거마냥  뭔가요
저걸 어떻게 먹어요   칼로 난도질해 놓은 것도 아니고","{'하나는 멀쩡한데 하나는 누가 일부러 뜯어 놓은 거마냥': '포장/배송', '저걸 어떻게 먹어요': '포장/배송', '칼로 난도질해 놓은 것도 아니고': '포장/배송'}"
16,도가니를 좋아하는 딸을 위해 샀어요  ㅋ,{}
17,시아버님 사 드렸는데 별로라고 하시네요,{}
18,도가니가 양이 적긴한데 파 송송에 후추 넣어서 먹으니 맛나요,"{'도가니가 양이 적긴한데': '양', '파 송송에 후추 넣어서 먹으니 맛나요': '맛/향/풍미'}"
19,그냥저냥 먹을 만은한데 특별히 맛있는 줄은 모르겠어요 ,{}
20,컬리 제품 자주 구입해요,{}
21,"첨에는 안에 내용물이 많이 들어 있어서 도가니가 많이 들어 있는 줄 알았는데 먹다 보니
고기 몇 점과 지방 덩이네요 ㅠ
저는 입이 짧아 지방같이 물컹거리는
부분은 먹지 않는데 
재구매는 하지 않을 듯요","{'안에 내용물이 많이 들어 있어서 도가니가 많이 들어 있는 줄 알았는데': '양', '고기 몇 점과 지방 덩이네요': '양', '입이 짧아 지방같이 물컹거리는 부분은 먹지 않는데': '맛/향/풍미', '재구매는 하지 않을 듯요': '가격'}"
22,누린내가 너무 심합니다 이런 냄새를 참나 ,{'누린내가 너무 심합니다': '맛/향/풍미'}
23,무난했어요 건더기가 엄청 많다고 느껴지진 않았고 기름은 좀 있지만 설성 목장 제품 좋아합니다 첨가물 없이 깔끔해서요,"{'무난했어요': '맛/향/풍미', '건더기가 엄청 많다고 느껴지진 않았고': '양', '기름은 좀 있지만': '맛/향/풍미', '설성 목장 제품 좋아합니다': '맛/향/풍미', '첨가물 없이 깔끔해서요': '맛/향/풍미'}"
24,"후기 좋아 구입했어요
맛은 어떤 양념도 첨가하지 않은 순수한 탕 맛이라 맘에 들지만 고기는 많이 우려서인지 맛이 안 느껴지고 도가니도 조금밖에 안 들어가서 아쉬웠어요","{'맛은 어떤 양념도 첨가하지 않은 순수한 탕 맛이라 맘에 들지만': '맛/향/풍미', '고기는 많이 우려서인지 맛이 안 느껴지고': '맛/향/풍미', '도가니도 조금밖에 안 들어가서 아쉬웠어요': '양'}"
25,"갑자기 묽어졌어요 
혹시 물량이 많아졌나요 
진한 맛이 나라 17000원에 한 끼 아깝지 않게 먹었는데
이렇게 물 탄 맛이면 앞으로는 시킬 이유가 없겠어요
왜 맛이 묽어졌는지 궁금합니다 ","{'갑자기 묽어졌어요': '맛/향/풍미', '진한 맛이 나라 17000원에 한 끼 아깝지 않게 먹었는데': '가격', '이렇게 물 탄 맛이면 앞으로는 시킬 이유가 없겠어요': '맛/향/풍미', '왜 맛이 묽어졌는지 궁금합니다': '맛/향/풍미'}"
26,엄마가 제일 좋아하는 도가니탕입니다 여러 브랜드 제품 드려 봐도 이게 제일 부드럽고 진하면서 맛있다고 하시네요 가격대가 있어도 이 제품만 구매하게 되요,"{'엄마가 제일 좋아하는 도가니탕입니다': '맛/향/풍미', '이게 제일 부드럽고 진하면서 맛있다고 하시네요': '맛/향/풍미', '가격대가 있어도 이 제품만 구매하게 되요': '가격'}"
27,설성 목장 도가니탕이 최고입니다,{'설성 목장 도가니탕이 최고입니다': '맛/향/풍미'}
28,"도가니탕 좋아하시는 팔순 훌쩍 넘기신 시아버님이 제가 주문해 드린 도가니탕이 제일 맛있다고 하셔서 주기적으로 보내 드리고 있어요
홈쇼핑 판매하는 거랑은 비교 불가 입니다","{'도가니탕이 제일 맛있다고 하셔서': '맛/향/풍미', '주기적으로 보내 드리고 있어요': '보관', '홈쇼핑 판매하는 거랑은 비교 불가 입니다': '가격'}"
29,"고기와 도가니가 적당히 들어 있어요
양이 적은 사람은 둘이서 먹어도
부족하지 않아요","{'고기와 도가니가 적당히 들어 있어요': '양', '양이 적은 사람은 둘이서 먹어도 부족하지 않아요': '양'}"
30,"설성 목장 한우 도가니탕
입맛 없을 때 좋아요",{'입맛 없을 때 좋아요': '활용 방법'}
31,"설성 목장 한우 도가니탕
고기도 도가니도 많아 넘 좋아요",{'고기도 도가니도 많아 넘 좋아요': '양'}
32,품질이 좋은 이유는 육수가 맑고 구수하다는 것입니다 가격이 비싸서 좀 아쉽습니다 ,"{'육수가 맑고 구수하다는 것입니다': '맛/향/풍미', '가격이 비싸서 좀 아쉽습니다': '가격'}"
33,도가니탕은 여기가 찐 입니다,{}
34,양은 작아도 맛은 좋습니다,"{'양은 작아도': '양', '맛은 좋습니다': '맛/향/풍미'}"
35,후기가 좋아서 구매 혼자 사시는 어른 보내 드렸어요,{}
36,"집에서 한 거 같아서 자주 주문해요
좋아요 할인해서 주문",{}
37,혈압이 살짝 왔다갔다 하는 짝꿍을 위해 설 성 도가니나 설렁탕 나트륨 낮아 주문해요,{'나트륨 낮아 주문해요': '맛/향/풍미'}
38,설성 목장 도가니탕 한우라 좋고 국물이 깔끔해요,"{'설성 목장 도가니탕 한우라 좋고': '맛/향/풍미', '국물이 깔끔해요': '맛/향/풍미'}"
39,"설성 목장 한우 도가니탕 고기도 듬뿍
도가니도 많고 국물도 깔끔 비싸도 최고네요 ","{'고기도 듬뿍': '양', '도가니도 많고': '양', '국물도 깔끔': '맛/향/풍미', '비싸도 최고네요': '가격'}"
40,설성 목장 한우 도가니탕 너무 맛있어요 ,{'너무 맛있어요': '맛/향/풍미'}
41,"간편해서 좋아요
맛도 좋아요","{'간편해서 좋아요': '활용 방법', '맛도 좋아요': '맛/향/풍미'}"
42,"이제서야 먹어 봤네요
집에서 끓인 거 같아요
다른 것도 먹어 봐야겠어요",{}
43,믿고 먹는 설성 목장입니다 뭘 먹어도 실패가 없네요 사골 스틱도 먹어 보니까 너무 편하고 맛있던데 더 다양한 상품을 컬리에서 구매할 수 있었으면 좋겠어요 ,"{'믿고 먹는 설성 목장입니다': '맛/향/풍미', '뭘 먹어도 실패가 없네요': '맛/향/풍미', '사골 스틱도 먹어 보니까 너무 편하고 맛있던데': '맛/향/풍미', '더 다양한 상품을 컬리에서 구매할 수 있었으면 좋겠어요': '활용 방법'}"
44,홈쇼핑으로 처음 접했는데 낱개로 살 수 있어 좋아요 ,{}
45,부모님이 제일 좋아하십니다 자극적이지 않고 판매하는  특유의 그런 맛이 안 난다고 좋아하세요,"{'부모님이 제일 좋아하십니다': '맛/향/풍미', '자극적이지 않고 판매하는 특유의 그런 맛이 안 난다고 좋아하세요': '맛/향/풍미'}"
46,세일 자주 해 주세요,{}
47,설성 목장 도가니탕 정말 맛있었요,{'설성 목장 도가니탕 정말 맛있었요': '맛/향/풍미'}
48,"아직 먹기 전이구요
경복궁 제품과 비교해 보고 싶어 구매했어요",{}
49,도가니탕으로 떡국 끓여 먹었는데 맛있어요,{'도가니탕으로 떡국 끓여 먹었는데 맛있어요': '맛/향/풍미'}
50,맛있는 데 상품에 신경을 더 쓰셔야겠어요 ㅠ 먹다가 대파 얇은 막 껍질인 줄 알았는데 비닐이네요 ㅠ,"{'맛있는 데 상품에 신경을 더 쓰셔야겠어요': '맛/향/풍미', '먹다가 대파 얇은 막 껍질인 줄 알았는데 비닐이네요': '포장/배송'}"
51,"갈비탕을 와이프가 다 먹어서 어떤 맛인지 
몰라요 ㅠ ㅠ 와이프가 잘 먹으면 
맛난 거 겠죠 ㅠ ㅠ","{'갈비탕을 와이프가 다 먹어서 어떤 맛인지': '맛/향/풍미', '와이프가 잘 먹으면 맛난 거 겠죠': '맛/향/풍미'}"
52,"국물은 깔끔 시원하고 이름답게 대파가 엄청나게 들어가 있어요
푹 삶아서 매운맛 없이 몇 번 안 씹어도 술술 잘 넘어가네요
고기는 뼈가 무진장 큰 갈빗대가 3개 들어가 있구요 뼈는 큰데 고기는 자그맣게 붙어 있네요
국물 양은 홍수인데 고기가 많이 없는 건 아쉽습니다 약간 질긴 면도 있고
뼈 끝 부분에서 잔뼈들이 계속 떨어져서 정말 씹을 때 조심해야해요","{'국물은 깔끔 시원하고 이름답게 대파가 엄청나게 들어가 있어요': '맛/향/풍미', '푹 삶아서 매운맛 없이 몇 번 안 씹어도 술술 잘 넘어가네요': '맛/향/풍미', '고기는 뼈가 무진장 큰 갈빗대가 3개 들어가 있구요': '양', '국물 양은 홍수인데 고기가 많이 없는 건 아쉽습니다': '양', '약간 질긴 면도 있고': '양', '뼈 끝 부분에서 잔뼈들이 계속 떨어져서 정말 씹을 때 조심해야해요': '양'}"
53,"사미 헌은 오리지널 갈비탕이네요
얼큰 갈비탕보다 오리지널이 훨씬 맛있어요
요 것도 나쁘진 않지만 두 번은 안 사 먹을 것 같아요","{'사미 헌은 오리지널 갈비탕이네요': '맛/향/풍미', '얼큰 갈비탕보다 오리지널이 훨씬 맛있어요': '맛/향/풍미', '요 것도 나쁘진 않지만 두 번은 안 사 먹을 것 같아요': '가격'}"
54,대파가 정말 많지만 부드러워 괜찮아요,"{'대파가 정말 많지만': '양', '부드러워 괜찮아요': '맛/향/풍미'}"
55,"대파 갈비탕 끓여서 밥 말아 먹었어요 딱 1 인분 양이라 국물에 큰 갈비가 3점 들어 있어요 양은 조금 적은 편

그래도 국물은 얼큰하고 맛있어서 잘 먹었습니다 양이 적어서 다시 구매하지는 않겠지만 소량으로 한 끼 맛있게 드시고 싶은 분들께는 괜찮아요","{'대파 갈비탕 끓여서 밥 말아 먹었어요': '활용 방법', '딱 1 인분 양이라 국물에 큰 갈비가 3점 들어 있어요': '양', '양은 조금 적은 편': '양', '국물은 얼큰하고 맛있어서 잘 먹었습니다': '맛/향/풍미', '양이 적어서 다시 구매하지는 않겠지만': '양', '소량으로 한 끼 맛있게 드시고 싶은 분들께는 괜찮아요': '활용 방법'}"
56,담백하고 맛있어서 다시 한번 주문할 듯,{'담백하고 맛있어서 다시 한번 주문할 듯': '맛/향/풍미'}
57,"대파만 푸짐허고 얼큰하지도 않고 갈비대가  큰 고하나 아주 작은 거 하나  살도 거의 안 붙어 있고
그냥 대파 탕","{'대파만 푸짐허고': '양', '얼큰하지도 않고': '맛/향/풍미', '갈비대가 큰 고하나 아주 작은 거 하나': '양', '살도 거의 안 붙어 있고': '양', '그냥 대파 탕': '맛/향/풍미'}"
58,할인해서 사 봤는데요 제 입맛에는 별루입니다 갈비 대가 작은 걸로 5개 있는 것 같은데 정말 살듀 적어용,"{'제 입맛에는 별루입니다': '맛/향/풍미', '갈비 대가 작은 걸로 5개 있는 것 같은데': '양', '정말 살듀 적어용': '양'}"
59,"얼큰 대파 갈비탕 정말 맛있어요 간은 안 되 있어서 개인 취향 데로 간 해 주면 된다는 것도 넘 좋아요 지난번 먹어 보고 너무 맛나 어머님도 가져다 드리려 이번에 4 팩 주문
오늘 아침 만두도 너 어서 맛나게 냠냠 그런데 헉  남편 입에서 이상한 게 나왔어요  종이에 비닐이 함께 붙은 조각 남편한테 내가 실수한 걸까 이리저리 다 찾아보았지만 그런 소재는 어디에도 없었어요
너무 맛나는 제품 찾아서 행복했는데 솔직히 또 주문해 먹을 제품입니다 하지만 제발 품질 관리에 신경 좀 써 주세요
미쿡이면 바로 고소 들어갈 일이어요
여긴 미쿡도  중국도 아닌 대한민국
음식 소중히 다뤄 주세요
부탁 드림니다","{'얼큰 대파 갈비탕 정말 맛있어요': '맛/향/풍미', '간은 안 되 있어서 개인 취향 데로 간 해 주면 된다는 것도 넘 좋아요': '맛/향/풍미', '너무 맛나는 제품 찾아서 행복했는데 솔직히 또 주문해 먹을 제품입니다': '보관', '제발 품질 관리에 신경 좀 써 주세요': '포장/배송'}"
60,갈비 3개 있고 파 많구 칼칼해유,"{'갈비 3개 있고': '양', '파 많구': '양', '칼칼해유': '맛/향/풍미'}"
61,"대파 갈비탕 이름답게
대파가 정말 많이 들어 있었어요
국물은 육개장과 갈비탕의 중간 정도 느낌이었어요
짜지 않았고
고기는 4덩이라 한 번 끓여서 2 인이 먹기 좋은 양이었습니다
뼈에 붙은 물컹하거나 질긴 고기 부분 안 좋아하는데
고기는 잡내 없이 부드러워서 안 남기고 다 먹었어요
개인적으로는 기본 갈비탕이 더 괜찮은 것 같아요 ","{'대파가 정말 많이 들어 있었어요': '양', '국물은 육개장과 갈비탕의 중간 정도 느낌이었어요': '맛/향/풍미', '짜지 않았고': '맛/향/풍미', '고기는 4덩이라 한 번 끓여서 2 인이 먹기 좋은 양이었습니다': '양', '고기는 잡내 없이 부드러워서 안 남기고 다 먹었어요': '맛/향/풍미', '개인적으로는 기본 갈비탕이 더 괜찮은 것 같아요': '맛/향/풍미'}"
62,사미헌 꺼는 그냥 갈비탕이 제일 낫네요,{}
63,"간단히 먹기 좋아요 고기도 뼈에서 잘 떨어지구요
근데 대파가 좀 많긴하네요","{'간단히 먹기 좋아요': '활용 방법', '고기도 뼈에서 잘 떨어지구요': '맛/향/풍미', '대파가 좀 많긴하네요': '양'}"
64,2인분 같고 갈비 3대에 고기 1점 더 나오고 대파 토란 줄기가 좀 적은 듯 적합한 듯 들었네요 맛은 괜찮아서 국물까지 비웠어요 참 얼큰하진 않아요,"{'2인분 같고': '양', '갈비 3대에 고기 1점 더 나오고': '양', '대파 토란 줄기가 좀 적은 듯': '양', '맛은 괜찮아서 국물까지 비웠어요': '맛/향/풍미', '참 얼큰하진 않아요': '맛/향/풍미'}"
65,"고기는 3개밖에 안 들어 있는데 그마저도 고기 사이즈가 너무 작아서
세일해서 샀는데도 너무 돈 아까워요
맛도 그냥저냥
고춧가루랑 다진 마늘 넣어 먹었어요","{'고기는 3개밖에 안 들어 있는데 그마저도 고기 사이즈가 너무 작아서': '양', '세일해서 샀는데도 너무 돈 아까워요': '가격', '맛도 그냥저냥': '맛/향/풍미', '고춧가루랑 다진 마늘 넣어 먹었어요': '활용 방법'}"
66,"사미 헌이라 믿고 부모님 댁도 종종 보내 드리는데 신제품이라 혹시나 하고 저희 집 먼저 주문했는데 솔직히 실망이라 후기 길게 써 봐요 대체로 짜게 먹는 집도 아니고 신랑이 직업적으로 후각 미각이 뛰어난 편인데  신랑이 물 더 부었는지 물어보더라구요 저도 먹고 묘하게 싱겁다는 느낌을 ㅋ
좋게 말하면 라이트와 깔끔이지만 깊은 맛은 안 느껴지는 갈비탕도 아닌 것이 육개장도 아닌 애매한 맛이라 재주문 안 하려구요
다른 분들 리뷰에도 있던데 뼈는 크고 고기는 작아요 국물과 파는 많지만 고기는 3 조각이라 국물 많은 1 인용이라 양도 살짝 애매해요 그냥 갈비탕이 더 나은 듯 합니다 ","{'신랑이 물 더 부었는지 물어보더라구요': '맛/향/풍미', '묘하게 싱겁다는 느낌을': '맛/향/풍미', '좋게 말하면 라이트와 깔끔이지만 깊은 맛은 안 느껴지는': '맛/향/풍미', '뼈는 크고 고기는 작아요': '양', '국물과 파는 많지만 고기는 3 조각이라': '양', '국물 많은 1 인용이라 양도 살짝 애매해요': '양'}"
67,신제품인 거 같은데 사미헌 믿고 사는 브랜드라 구입했어요,{}
68,"사미헌 갈비탕 후기가 좋대서 세일하는
얼큰 갈 미 탕으로 사 봤는데 저한테는
좀 싱겁고 맛있는 진 모르겠는","{'좀 싱겁고': '맛/향/풍미', '맛있는 진 모르겠는': '맛/향/풍미'}"
69,간이 좀 슴슴해요 엄청 맛있는 건 모르겠고 적당한 맛,"{'간이 좀 슴슴해요': '맛/향/풍미', '엄청 맛있는 건 모르겠고': '맛/향/풍미', '적당한 맛': '맛/향/풍미'}"
70,아이들이 좋아해서 계속 주문해서 먹고 있어요,{}
71,깊은 맛은 모르겠구 칼칼한 소고기 뭇 국 느낌 이네요,{'깊은 맛은 모르겠구 칼칼한 소고기 뭇 국 느낌 이네요': '맛/향/풍미'}
72,"처음 출시하면서 할인하길래 사 먹었을 때는 꽤 맛있게 먹었거든요
근데 그 이후 또 시켜 봤는데 색도 허얘 지고 맛도 멀멀해졌어요 매콤함도 약간 있고 건더기도 부실해졌다는 느낌은 아닌데 국물에 물을 탔나 싶은 맛이 나네요 사미헌 제품에 처음 실망했어요","{'처음 출시하면서 할인하길래 사 먹었을 때는 꽤 맛있게 먹었거든요': '맛/향/풍미', '색도 허얘 지고 맛도 멀멀해졌어요': '맛/향/풍미', '매콤함도 약간 있고 건더기도 부실해졌다는 느낌은 아닌데': '양', '국물에 물을 탔나 싶은 맛이 나네요': '맛/향/풍미', '사미헌 제품에 처음 실망했어요': '맛/향/풍미'}"
73,음 음  음 이건 음 ,{}
74,고기는 괜찮은데 저에겐 국물이 밍밍했어요,"{'고기는 괜찮은데': '맛/향/풍미', '국물이 밍밍했어요': '맛/향/풍미'}"
75,육개장과 갈비탕의 중간 맛이에요 이도 저도 아닌 맛이라 갠적으로 비추입니다,"{'육개장과 갈비탕의 중간 맛이에요': '맛/향/풍미', '이도 저도 아닌 맛이라 갠적으로 비추입니다': '맛/향/풍미'}"
76,"너무 맛 없어요
가성비로나 맛으로나 차라리 레토르트가 낫습니다 
얼큰이 아닌 맵고 싱겁 간이 싱거운 게 아니라 맛이 싱거워요 고 파는 질기고
왠 만함 후기 잘 안 남기는데 앞으로 구매하실 분들을 위해 남깁니다 ","{'너무 맛 없어요': '맛/향/풍미', '가성비로나 맛으로나 차라리 레토르트가 낫습니다': '가격', '얼큰이 아닌 맵고 싱겁': '맛/향/풍미', '간이 싱거운 게 아니라 맛이 싱거워요': '맛/향/풍미', '고 파는 질기고': '맛/향/풍미', '왠 만함 후기 잘 안 남기는데 앞으로 구매하실 분들을 위해 남깁니다': '활용 방법'}"
77,갈비는 역시 사미헌이요 재주문이요,{}
78,자주 사 먹을껏 같아 오 ㅡ,{}
